,index,Restaurant,Location,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
7071,3954,ID_0,Delhi Cantt.,150,50,-,-,-,30
4197,2457,ID_1,"D-Block, Sector 63, Noida",400,50,NEW,-,-,30
311,5415,ID_100,"Delhi Administration Flats, Timarpur",150,50,3.6,36,7,30
7584,419,ID_1000,"Mico Layout, Stage 2, BTM Layout,Bangalore",250,50,3.7,96,55,30
942,3738,ID_1003,"Sector 14, Noida",150,50,3.6,116,41,45
4678,261,ID_1004,Mumbai Central,100,50,3.0,4,1,30
8767,6568,ID_1004,"Sector 3, Marathalli",50,50,-,-,-,30
1500,9216,ID_1004,"Sandhurst Road, Mumbai CST Area",100,50,3.0,4,1,30
4148,814,ID_1004,"Rmz Centennial, I Gate, Whitefield",50,50,-,-,-,30
7852,148,ID_1005,Delhi University-GTB Nagar,150,50,4.3,253,118,30
6823,6197,ID_1006,"Dockyard Road, Mumbai CST Area",100,50,3.7,60,23,30
5570,6496,ID_1006,"Sandhurst Road, Mumbai CST Area",100,50,3.7,60,23,30
7227,1848,ID_1007,"FTI College, Law College Road, Pune",250,50,-,-,-,30
5462,7116,ID_1007,"Tejas Nagar Colony, Wadala West, Mumbai",200,50,-,-,-,30
7611,8404,ID_1008,"Sandhurst Road, Mumbai CST Area",150,50,-,-,-,30
1158,5756,ID_101,Delhi University-GTB Nagar,150,99,-,-,-,30
1860,10103,ID_1011,"Sandhurst Road, Mumbai CST Area",300,50,4.3,511,276,30
5371,2539,ID_1012,"Dockyard Road, Mumbai CST Area",200,50,3.3,131,42,45
6905,2683,ID_1012,"Sandhurst Road, Mumbai CST Area",200,50,3.3,131,42,45
4430,6621,ID_1013,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,3.8,20,10,65
238,5426,ID_1014,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,3.8,28,16,30
1734,8759,ID_1015,"Sector 14, Noida",200,50,3.4,7,6,30
6205,10164,ID_1015,"Sandhurst Road, Mumbai CST Area",200,50,3.3,32,24,30
7920,6601,ID_1015,"Rmz Centennial, I Gate, Whitefield",200,50,2.9,46,21,65
4508,403,ID_1016,"Tejas Nagar Colony, Wadala West, Mumbai",150,50,-,-,-,30
3696,5308,ID_1017,"Yerawada, Pune, Maharashtra",100,50,NEW,-,-,30
5448,5411,ID_1017,"Nathan Road, Mangaldas Road, Pune",100,50,NEW,-,-,30
4716,6127,ID_1018,Mumbai Central,350,50,4.4,282,199,30
1557,4706,ID_1019,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,4.1,46,17,30
4819,8069,ID_102,"Sector 3, Marathalli",100,50,3.3,4,1,30
2644,1691,ID_1020,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,3.6,16,6,30
2271,4674,ID_1021,Majestic,50,50,4.1,98,53,30
6313,590,ID_1023,"Sector 14, Noida",200,50,NEW,-,-,30
7778,10616,ID_1025,"Sector 3, Marathalli",50,50,3.4,7,5,30
2941,5035,ID_1025,"Rmz Centennial, I Gate, Whitefield",50,50,3.4,7,5,30
1993,9691,ID_1026,"Sector 3, Marathalli",150,50,3.2,4,1,30
8306,1005,ID_1028,"Sector 1, Noida",200,50,3.6,79,55,30
377,5265,ID_1028,"Sector 14, Noida",200,50,3.6,79,55,30
8448,6043,ID_1029,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100,50,3.5,21,3,30
5702,8977,ID_103,"Mico Layout, Stage 2, BTM Layout,Bangalore",250,50,3.6,8,3,30
8771,8613,ID_1031,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,3.6,69,19,30
2574,3655,ID_1032,"MG Road, Pune",950,50,4.5,734,393,30
573,6269,ID_1032,"Yerawada, Pune, Maharashtra",950,50,4.5,734,393,30
3716,8629,ID_1032,"Nathan Road, Mangaldas Road, Pune",950,50,4.5,734,393,30
6574,5829,ID_1033,"Yerawada, Pune, Maharashtra",750,50,4.3,108,67,45
1307,4306,ID_1034,"Sector 3, Marathalli",150,50,-,-,-,30
6153,9560,ID_1035,"FTI College, Law College Road, Pune",200,50,3.4,11,4,30
6672,6196,ID_1035,Pune University,200,50,3.4,11,4,30
1347,3573,ID_1036,"Delhi High Court, India Gate",200,99,4.1,98,51,30
4223,9338,ID_1036,"Delhi Administration Flats, Timarpur",200,99,4.1,-,-,30
4266,7260,ID_1036,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,99,4.1,133,81,30
7048,4136,ID_1036,"D-Block, Sector 63, Noida",200,99,4.1,69,53,30
6170,3453,ID_1038,"D-Block, Sector 63, Noida",100,50,NEW,-,-,30
2483,5929,ID_104,"FTI College, Law College Road, Pune",200,50,3.5,89,21,30
6973,8190,ID_1041,Delhi University-GTB Nagar,500,99,4.0,972,695,65
7951,6114,ID_1042,"FTI College, Law College Road, Pune",200,50,4.2,343,97,30
2479,9016,ID_1042,"Mico Layout, Stage 2, BTM Layout,Bangalore",300,50,4.3,416,125,30
8438,5453,ID_1042,"Sector 3, Marathalli",300,50,4.1,406,123,30
3489,4005,ID_1042,Mumbai Central,200,50,3.8,86,53,30
3210,10098,ID_1042,Pune University,200,50,4.2,343,97,30
6999,4943,ID_1043,"Rmz Centennial, I Gate, Whitefield",150,50,3.3,7,2,30
8659,1206,ID_1044,"D-Block, Sector 63, Noida",200,99,4.1,2465,860,45
7381,9915,ID_1046,Majestic,50,50,4.2,235,86,30
798,1976,ID_1046,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,3.6,8,1,30
7656,7808,ID_1047,Delhi Cantt.,100,50,3.2,8,5,30
1566,9192,ID_1049,Delhi Cantt.,250,50,3.8,154,95,30
8752,4734,ID_105,"FTI College, Law College Road, Pune",100,50,3.5,23,9,30
7806,3892,ID_105,"MG Road, Pune",100,50,3.5,23,9,30
1598,4146,ID_1050,"D-Block, Sector 63, Noida",150,50,3.1,4,2,30
1575,9700,ID_1051,Mumbai Central,150,50,3.5,34,18,45
8559,6787,ID_1051,"Dockyard Road, Mumbai CST Area",150,50,3.5,34,18,45
5017,1506,ID_1052,"MG Road, Pune",200,50,3.4,15,2,30
6820,4037,ID_1052,"Nathan Road, Mangaldas Road, Pune",200,50,3.4,15,2,30
2742,5799,ID_1054,"D-Block, Sector 63, Noida",150,99,3.2,52,19,65
8038,8658,ID_1055,Majestic,100,50,4.0,124,86,30
3583,1494,ID_1056,"Raja Bazar, Kolkata",150,50,3.9,251,105,65
5248,4231,ID_1057,"Babarpur, New Delhi, Delhi",100,50,NEW,-,-,30
4454,3622,ID_1058,"FTI College, Law College Road, Pune",150,50,3.3,21,10,45
2440,10293,ID_1061,"D-Block, Sector 63, Noida",200,50,-,-,-,30
4785,9892,ID_1062,"D-Block, Sector 63, Noida",150,50,-,-,-,30
3411,4504,ID_1063,"Sector 3, Marathalli",200,50,4.2,45,13,30
580,6975,ID_1064,"Rmz Centennial, I Gate, Whitefield",800,50,4.7,9054,6504,45
8230,1180,ID_1064,"Sector 3, Marathalli",800,50,4.7,9054,6504,45
6934,9618,ID_1065,"Mico Layout, Stage 2, BTM Layout,Bangalore",800,50,4.3,1201,626,45
5651,8506,ID_1067,"Mico Layout, Stage 2, BTM Layout,Bangalore",300,50,2.9,69,29,30
910,2518,ID_1068,"Mico Layout, Stage 2, BTM Layout,Bangalore",700,50,4.3,4528,2171,65
3643,7859,ID_1070,Delhi Cantt.,250,50,3.7,73,34,30
8153,6589,ID_1071,"Delhi Administration Flats, Timarpur",200,50,3.5,551,75,45
1766,8621,ID_1071,Delhi University-GTB Nagar,200,50,3.5,551,75,45
1980,7982,ID_1072,Delhi University-GTB Nagar,150,50,3.6,44,20,30
5574,5843,ID_1073,Delhi University-GTB Nagar,200,50,3.6,77,25,30
7989,7143,ID_1073,"Delhi High Court, India Gate",100,50,3.2,11,7,30
4989,3983,ID_1074,Mumbai Central,100,50,3.2,5,-,30
2259,3092,ID_1074,"Sandhurst Road, Mumbai CST Area",150,50,3.7,6,-,30
905,7476,ID_1074,Mumbai Central,150,50,3.7,6,-,30
2443,669,ID_1074,"Dockyard Road, Mumbai CST Area",150,50,3.5,6,2,30
6595,6849,ID_1074,"Sandhurst Road, Mumbai CST Area",150,50,3.5,6,2,30
2001,1176,ID_1074,"Dockyard Road, Mumbai CST Area",150,50,3.7,6,-,30
3515,9177,ID_1074,Mumbai Central,150,50,3.5,6,2,30
4445,10172,ID_1076,Pune University,650,50,3.9,123,72,30
4985,7633,ID_1077,Delhi Cantt.,100,50,-,-,-,30
4713,10262,ID_1078,Delhi Cantt.,250,99,4.2,793,418,45
8,5119,ID_1078,Delhi University-GTB Nagar,250,50,4.3,386,230,65
1325,917,ID_108,"Rmz Centennial, I Gate, Whitefield",100,50,4.0,126,69,30
6764,2836,ID_1080,"Delhi High Court, India Gate",200,50,4.0,280,126,65
